student_id,alias,baseline_score,baseline_max,baseline_percentage,post_score,post_max,post_percentage,raw_gain,normalized_gain,hake_category,baseline_completed_at,post_completed_at
SD-2ETP3,Radar,24,40,60.00,40,40,100.00,16,1,HIGH_GAIN,2026-08-15T13:20:03.055Z,2026-08-15T13:51:54.748Z
SD-2FJTN,Petch,25,40,62.50,40,40,100.00,15,1,HIGH_GAIN,2026-08-15T13:20:04.845Z,2026-08-15T13:51:55.008Z
SD-68QME,Max,26,40,65.00,36,40,90.00,10,0.7143,HIGH_GAIN,2026-08-15T13:20:10.472Z,2026-08-15T13:51:58.328Z
SD-88H7G,ภูมิ,31,40,77.50,40,40,100.00,9,1,HIGH_GAIN,2026-08-15T14:19:57.691Z,2026-08-15T14:34:19.391Z
SD-AXTTJ,Tectid,32,40,80.00,40,40,100.00,8,1,HIGH_GAIN,2026-08-15T14:20:31.724Z,2026-08-15T14:35:04.590Z
SD-C3JUV,Andrey,32,40,80.00,40,40,100.00,8,1,HIGH_GAIN,2026-08-15T13:19:49.223Z,2026-08-15T13:51:57.851Z
SD-HJF6X,ข้าว,26,40,65.00,40,40,100.00,14,1,HIGH_GAIN,2026-08-15T13:58:11.603Z,2026-08-15T14:16:55.749Z
SD-JCC9U,Fino,25,40,62.50,40,40,100.00,15,1,HIGH_GAIN,2026-08-15T13:58:14.507Z,2026-08-15T14:16:55.555Z
SD-PLTRN,Snack,23,40,57.50,36,40,90.00,13,0.7647,HIGH_GAIN,2026-08-15T13:19:59.800Z,2026-08-15T13:52:04.263Z
SD-XDLM6,Ilrey,32,40,80.00,40,40,100.00,8,1,HIGH_GAIN,2026-08-15T13:19:50.029Z,2026-08-15T13:51:53.311Z
