student_id,alias,indicator_id,domain,indicator_name,question_instances_count,pre_domain_score,post_domain_score,evidence_count,ai_query_count
SD-2ETP3,Radar,T1,THINK,NOT_AVAILABLE,6,0.8,1,2,0
SD-2ETP3,Radar,T2,THINK,NOT_AVAILABLE,5,0.8,1,1,0
SD-2ETP3,Radar,T3,THINK,NOT_AVAILABLE,5,0.8,1,0,0
SD-2ETP3,Radar,T4,THINK,NOT_AVAILABLE,4,0.8,1,0,0
SD-2ETP3,Radar,C1,CHECK,NOT_AVAILABLE,5,0.3,1,2,0
SD-2ETP3,Radar,C2,CHECK,NOT_AVAILABLE,6,0.3,1,0,0
SD-2ETP3,Radar,C3,CHECK,NOT_AVAILABLE,8,0.3,1,0,0
SD-2ETP3,Radar,C4,CHECK,NOT_AVAILABLE,5,0.3,1,0,0
SD-2ETP3,Radar,S1,SOLVE,NOT_AVAILABLE,3,1,1,1,0
SD-2ETP3,Radar,S2,SOLVE,NOT_AVAILABLE,3,1,1,0,0
SD-2ETP3,Radar,S3,SOLVE,NOT_AVAILABLE,6,1,1,0,0
SD-2ETP3,Radar,S4,SOLVE,NOT_AVAILABLE,2,1,1,0,0
SD-2ETP3,Radar,E1,EXPLAIN,NOT_AVAILABLE,5,0.5,1,1,0
SD-2ETP3,Radar,E2,EXPLAIN,NOT_AVAILABLE,3,0.5,1,0,0
SD-2ETP3,Radar,E3,EXPLAIN,NOT_AVAILABLE,3,0.5,1,0,0
SD-2ETP3,Radar,E4,EXPLAIN,NOT_AVAILABLE,5,0.5,1,0,0
SD-2ETP3,Radar,G1,GROW,NOT_AVAILABLE,4,0.8,1,0,0
SD-2ETP3,Radar,G2,GROW,NOT_AVAILABLE,1,0.8,1,0,0
SD-2ETP3,Radar,G3,GROW,NOT_AVAILABLE,4,0.8,1,0,0
SD-2ETP3,Radar,G4,GROW,NOT_AVAILABLE,1,0.8,1,0,0
SD-2FJTN,Petch,T1,THINK,NOT_AVAILABLE,6,0.8,1,0,0
SD-2FJTN,Petch,T2,THINK,NOT_AVAILABLE,5,0.8,1,0,0
SD-2FJTN,Petch,T3,THINK,NOT_AVAILABLE,5,0.8,1,1,0
SD-2FJTN,Petch,T4,THINK,NOT_AVAILABLE,4,0.8,1,1,0
SD-2FJTN,Petch,C1,CHECK,NOT_AVAILABLE,5,0.7,1,0,0
SD-2FJTN,Petch,C2,CHECK,NOT_AVAILABLE,6,0.7,1,1,0
SD-2FJTN,Petch,C3,CHECK,NOT_AVAILABLE,8,0.7,1,0,0
SD-2FJTN,Petch,C4,CHECK,NOT_AVAILABLE,5,0.7,1,0,0
SD-2FJTN,Petch,S1,SOLVE,NOT_AVAILABLE,3,1,1,1,0
SD-2FJTN,Petch,S2,SOLVE,NOT_AVAILABLE,3,1,1,1,0
SD-2FJTN,Petch,S3,SOLVE,NOT_AVAILABLE,6,1,1,0,0
SD-2FJTN,Petch,S4,SOLVE,NOT_AVAILABLE,2,1,1,0,0
SD-2FJTN,Petch,E1,EXPLAIN,NOT_AVAILABLE,5,0.5,1,0,0
SD-2FJTN,Petch,E2,EXPLAIN,NOT_AVAILABLE,3,0.5,1,1,0
SD-2FJTN,Petch,E3,EXPLAIN,NOT_AVAILABLE,3,0.5,1,0,0
SD-2FJTN,Petch,E4,EXPLAIN,NOT_AVAILABLE,5,0.5,1,1,0
SD-2FJTN,Petch,G1,GROW,NOT_AVAILABLE,4,0.4,1,0,0
SD-2FJTN,Petch,G2,GROW,NOT_AVAILABLE,1,0.4,1,0,0
SD-2FJTN,Petch,G3,GROW,NOT_AVAILABLE,4,0.4,1,0,0
SD-2FJTN,Petch,G4,GROW,NOT_AVAILABLE,1,0.4,1,0,0
SD-68QME,Max,T1,THINK,NOT_AVAILABLE,6,0.8,1,0,0
SD-68QME,Max,T2,THINK,NOT_AVAILABLE,5,0.8,1,0,0
SD-68QME,Max,T3,THINK,NOT_AVAILABLE,5,0.8,1,0,0
SD-68QME,Max,T4,THINK,NOT_AVAILABLE,4,0.8,1,0,0
SD-68QME,Max,C1,CHECK,NOT_AVAILABLE,5,0.3,0.7,0,0
SD-68QME,Max,C2,CHECK,NOT_AVAILABLE,6,0.3,0.7,1,0
SD-68QME,Max,C3,CHECK,NOT_AVAILABLE,8,0.3,0.7,1,0
SD-68QME,Max,C4,CHECK,NOT_AVAILABLE,5,0.3,0.7,2,0
SD-68QME,Max,S1,SOLVE,NOT_AVAILABLE,3,1,1,0,0
SD-68QME,Max,S2,SOLVE,NOT_AVAILABLE,3,1,1,0,0
SD-68QME,Max,S3,SOLVE,NOT_AVAILABLE,6,1,1,0,0
SD-68QME,Max,S4,SOLVE,NOT_AVAILABLE,2,1,1,0,0
SD-68QME,Max,E1,EXPLAIN,NOT_AVAILABLE,5,0.5,1,0,0
SD-68QME,Max,E2,EXPLAIN,NOT_AVAILABLE,3,0.5,1,0,0
SD-68QME,Max,E3,EXPLAIN,NOT_AVAILABLE,3,0.5,1,1,0
SD-68QME,Max,E4,EXPLAIN,NOT_AVAILABLE,5,0.5,1,0,0
SD-68QME,Max,G1,GROW,NOT_AVAILABLE,4,1,1,1,0
SD-68QME,Max,G2,GROW,NOT_AVAILABLE,1,1,1,0,0
SD-68QME,Max,G3,GROW,NOT_AVAILABLE,4,1,1,0,0
SD-68QME,Max,G4,GROW,NOT_AVAILABLE,1,1,1,0,0
SD-88H7G,ภูมิ,T1,THINK,NOT_AVAILABLE,6,1,1,0,0
SD-88H7G,ภูมิ,T2,THINK,NOT_AVAILABLE,5,1,1,0,0
SD-88H7G,ภูมิ,T3,THINK,NOT_AVAILABLE,5,1,1,0,0
SD-88H7G,ภูมิ,T4,THINK,NOT_AVAILABLE,4,1,1,0,0
SD-88H7G,ภูมิ,C1,CHECK,NOT_AVAILABLE,5,0.7,1,0,0
SD-88H7G,ภูมิ,C2,CHECK,NOT_AVAILABLE,6,0.7,1,0,0
SD-88H7G,ภูมิ,C3,CHECK,NOT_AVAILABLE,8,0.7,1,0,0
SD-88H7G,ภูมิ,C4,CHECK,NOT_AVAILABLE,5,0.7,1,0,0
SD-88H7G,ภูมิ,S1,SOLVE,NOT_AVAILABLE,3,1,1,0,0
SD-88H7G,ภูมิ,S2,SOLVE,NOT_AVAILABLE,3,1,1,0,0
SD-88H7G,ภูมิ,S3,SOLVE,NOT_AVAILABLE,6,1,1,0,0
SD-88H7G,ภูมิ,S4,SOLVE,NOT_AVAILABLE,2,1,1,0,0
SD-88H7G,ภูมิ,E1,EXPLAIN,NOT_AVAILABLE,5,1,1,1,0
SD-88H7G,ภูมิ,E2,EXPLAIN,NOT_AVAILABLE,3,1,1,0,0
SD-88H7G,ภูมิ,E3,EXPLAIN,NOT_AVAILABLE,3,1,1,0,0
SD-88H7G,ภูมิ,E4,EXPLAIN,NOT_AVAILABLE,5,1,1,0,0
SD-88H7G,ภูมิ,G1,GROW,NOT_AVAILABLE,4,0.4,1,0,0
SD-88H7G,ภูมิ,G2,GROW,NOT_AVAILABLE,1,0.4,1,0,0
SD-88H7G,ภูมิ,G3,GROW,NOT_AVAILABLE,4,0.4,1,0,0
SD-88H7G,ภูมิ,G4,GROW,NOT_AVAILABLE,1,0.4,1,0,0
SD-AXTTJ,Tectid,T1,THINK,NOT_AVAILABLE,6,0.5,1,0,0
SD-AXTTJ,Tectid,T2,THINK,NOT_AVAILABLE,5,0.5,1,0,0
SD-AXTTJ,Tectid,T3,THINK,NOT_AVAILABLE,5,0.5,1,0,0
SD-AXTTJ,Tectid,T4,THINK,NOT_AVAILABLE,4,0.5,1,0,0
SD-AXTTJ,Tectid,C1,CHECK,NOT_AVAILABLE,5,1,1,0,0
SD-AXTTJ,Tectid,C2,CHECK,NOT_AVAILABLE,6,1,1,0,0
SD-AXTTJ,Tectid,C3,CHECK,NOT_AVAILABLE,8,1,1,0,0
SD-AXTTJ,Tectid,C4,CHECK,NOT_AVAILABLE,5,1,1,0,0
SD-AXTTJ,Tectid,S1,SOLVE,NOT_AVAILABLE,3,1,1,0,0
SD-AXTTJ,Tectid,S2,SOLVE,NOT_AVAILABLE,3,1,1,0,0
SD-AXTTJ,Tectid,S3,SOLVE,NOT_AVAILABLE,6,1,1,1,0
SD-AXTTJ,Tectid,S4,SOLVE,NOT_AVAILABLE,2,1,1,0,0
SD-AXTTJ,Tectid,E1,EXPLAIN,NOT_AVAILABLE,5,0.5,1,0,0
SD-AXTTJ,Tectid,E2,EXPLAIN,NOT_AVAILABLE,3,0.5,1,0,0
SD-AXTTJ,Tectid,E3,EXPLAIN,NOT_AVAILABLE,3,0.5,1,0,0
SD-AXTTJ,Tectid,E4,EXPLAIN,NOT_AVAILABLE,5,0.5,1,0,0
SD-AXTTJ,Tectid,G1,GROW,NOT_AVAILABLE,4,1,1,0,0
SD-AXTTJ,Tectid,G2,GROW,NOT_AVAILABLE,1,1,1,0,0
SD-AXTTJ,Tectid,G3,GROW,NOT_AVAILABLE,4,1,1,0,0
SD-AXTTJ,Tectid,G4,GROW,NOT_AVAILABLE,1,1,1,0,0
SD-C3JUV,Andrey,T1,THINK,NOT_AVAILABLE,6,0.5,1,0,0
SD-C3JUV,Andrey,T2,THINK,NOT_AVAILABLE,5,0.5,1,0,0
SD-C3JUV,Andrey,T3,THINK,NOT_AVAILABLE,5,0.5,1,0,0
SD-C3JUV,Andrey,T4,THINK,NOT_AVAILABLE,4,0.5,1,0,0
SD-C3JUV,Andrey,C1,CHECK,NOT_AVAILABLE,5,1,1,0,0
SD-C3JUV,Andrey,C2,CHECK,NOT_AVAILABLE,6,1,1,0,0
SD-C3JUV,Andrey,C3,CHECK,NOT_AVAILABLE,8,1,1,0,0
SD-C3JUV,Andrey,C4,CHECK,NOT_AVAILABLE,5,1,1,0,0
SD-C3JUV,Andrey,S1,SOLVE,NOT_AVAILABLE,3,1,1,0,0
SD-C3JUV,Andrey,S2,SOLVE,NOT_AVAILABLE,3,1,1,0,0
SD-C3JUV,Andrey,S3,SOLVE,NOT_AVAILABLE,6,1,1,0,0
SD-C3JUV,Andrey,S4,SOLVE,NOT_AVAILABLE,2,1,1,0,0
SD-C3JUV,Andrey,E1,EXPLAIN,NOT_AVAILABLE,5,1,1,0,0
SD-C3JUV,Andrey,E2,EXPLAIN,NOT_AVAILABLE,3,1,1,0,0
SD-C3JUV,Andrey,E3,EXPLAIN,NOT_AVAILABLE,3,1,1,0,0
SD-C3JUV,Andrey,E4,EXPLAIN,NOT_AVAILABLE,5,1,1,0,0
SD-C3JUV,Andrey,G1,GROW,NOT_AVAILABLE,4,0.5,1,1,0
SD-C3JUV,Andrey,G2,GROW,NOT_AVAILABLE,1,0.5,1,0,0
SD-C3JUV,Andrey,G3,GROW,NOT_AVAILABLE,4,0.5,1,0,0
SD-C3JUV,Andrey,G4,GROW,NOT_AVAILABLE,1,0.5,1,0,0
SD-HJF6X,ข้าว,T1,THINK,NOT_AVAILABLE,6,0.5,1,0,0
SD-HJF6X,ข้าว,T2,THINK,NOT_AVAILABLE,5,0.5,1,0,0
SD-HJF6X,ข้าว,T3,THINK,NOT_AVAILABLE,5,0.5,1,0,0
SD-HJF6X,ข้าว,T4,THINK,NOT_AVAILABLE,4,0.5,1,0,0
SD-HJF6X,ข้าว,C1,CHECK,NOT_AVAILABLE,5,1,1,0,0
SD-HJF6X,ข้าว,C2,CHECK,NOT_AVAILABLE,6,1,1,0,0
SD-HJF6X,ข้าว,C3,CHECK,NOT_AVAILABLE,8,1,1,0,0
SD-HJF6X,ข้าว,C4,CHECK,NOT_AVAILABLE,5,1,1,0,0
SD-HJF6X,ข้าว,S1,SOLVE,NOT_AVAILABLE,3,1,1,0,0
SD-HJF6X,ข้าว,S2,SOLVE,NOT_AVAILABLE,3,1,1,0,0
SD-HJF6X,ข้าว,S3,SOLVE,NOT_AVAILABLE,6,1,1,0,0
SD-HJF6X,ข้าว,S4,SOLVE,NOT_AVAILABLE,2,1,1,0,0
SD-HJF6X,ข้าว,E1,EXPLAIN,NOT_AVAILABLE,5,0.5,1,0,0
SD-HJF6X,ข้าว,E2,EXPLAIN,NOT_AVAILABLE,3,0.5,1,1,0
SD-HJF6X,ข้าว,E3,EXPLAIN,NOT_AVAILABLE,3,0.5,1,1,0
SD-HJF6X,ข้าว,E4,EXPLAIN,NOT_AVAILABLE,5,0.5,1,0,0
SD-HJF6X,ข้าว,G1,GROW,NOT_AVAILABLE,4,0.3,1,0,0
SD-HJF6X,ข้าว,G2,GROW,NOT_AVAILABLE,1,0.3,1,0,0
SD-HJF6X,ข้าว,G3,GROW,NOT_AVAILABLE,4,0.3,1,0,0
SD-HJF6X,ข้าว,G4,GROW,NOT_AVAILABLE,1,0.3,1,0,0
SD-JCC9U,Fino,T1,THINK,NOT_AVAILABLE,6,0.3,1,0,0
SD-JCC9U,Fino,T2,THINK,NOT_AVAILABLE,5,0.3,1,0,0
SD-JCC9U,Fino,T3,THINK,NOT_AVAILABLE,5,0.3,1,1,0
SD-JCC9U,Fino,T4,THINK,NOT_AVAILABLE,4,0.3,1,0,0
SD-JCC9U,Fino,C1,CHECK,NOT_AVAILABLE,5,1,1,0,0
SD-JCC9U,Fino,C2,CHECK,NOT_AVAILABLE,6,1,1,0,0
SD-JCC9U,Fino,C3,CHECK,NOT_AVAILABLE,8,1,1,0,0
SD-JCC9U,Fino,C4,CHECK,NOT_AVAILABLE,5,1,1,0,0
SD-JCC9U,Fino,S1,SOLVE,NOT_AVAILABLE,3,1,1,0,0
SD-JCC9U,Fino,S2,SOLVE,NOT_AVAILABLE,3,1,1,0,0
SD-JCC9U,Fino,S3,SOLVE,NOT_AVAILABLE,6,1,1,0,0
SD-JCC9U,Fino,S4,SOLVE,NOT_AVAILABLE,2,1,1,0,0
SD-JCC9U,Fino,E1,EXPLAIN,NOT_AVAILABLE,5,0,1,0,0
SD-JCC9U,Fino,E2,EXPLAIN,NOT_AVAILABLE,3,0,1,0,0
SD-JCC9U,Fino,E3,EXPLAIN,NOT_AVAILABLE,3,0,1,0,0
SD-JCC9U,Fino,E4,EXPLAIN,NOT_AVAILABLE,5,0,1,0,0
SD-JCC9U,Fino,G1,GROW,NOT_AVAILABLE,4,0.9,1,0,0
SD-JCC9U,Fino,G2,GROW,NOT_AVAILABLE,1,0.9,1,0,0
SD-JCC9U,Fino,G3,GROW,NOT_AVAILABLE,4,0.9,1,0,0
SD-JCC9U,Fino,G4,GROW,NOT_AVAILABLE,1,0.9,1,0,0
SD-PLTRN,Snack,T1,THINK,NOT_AVAILABLE,6,0.5,0.5,0,0
SD-PLTRN,Snack,T2,THINK,NOT_AVAILABLE,5,0.5,0.5,0,0
SD-PLTRN,Snack,T3,THINK,NOT_AVAILABLE,5,0.5,0.5,0,0
SD-PLTRN,Snack,T4,THINK,NOT_AVAILABLE,4,0.5,0.5,0,0
SD-PLTRN,Snack,C1,CHECK,NOT_AVAILABLE,5,0.3,1,0,0
SD-PLTRN,Snack,C2,CHECK,NOT_AVAILABLE,6,0.3,1,0,0
SD-PLTRN,Snack,C3,CHECK,NOT_AVAILABLE,8,0.3,1,1,0
SD-PLTRN,Snack,C4,CHECK,NOT_AVAILABLE,5,0.3,1,0,0
SD-PLTRN,Snack,S1,SOLVE,NOT_AVAILABLE,3,1,1,0,0
SD-PLTRN,Snack,S2,SOLVE,NOT_AVAILABLE,3,1,1,0,0
SD-PLTRN,Snack,S3,SOLVE,NOT_AVAILABLE,6,1,1,0,0
SD-PLTRN,Snack,S4,SOLVE,NOT_AVAILABLE,2,1,1,0,0
SD-PLTRN,Snack,E1,EXPLAIN,NOT_AVAILABLE,5,0.5,1,0,0
SD-PLTRN,Snack,E2,EXPLAIN,NOT_AVAILABLE,3,0.5,1,0,0
SD-PLTRN,Snack,E3,EXPLAIN,NOT_AVAILABLE,3,0.5,1,0,0
SD-PLTRN,Snack,E4,EXPLAIN,NOT_AVAILABLE,5,0.5,1,0,0
SD-PLTRN,Snack,G1,GROW,NOT_AVAILABLE,4,0.9,1,0,0
SD-PLTRN,Snack,G2,GROW,NOT_AVAILABLE,1,0.9,1,1,0
SD-PLTRN,Snack,G3,GROW,NOT_AVAILABLE,4,0.9,1,0,0
SD-PLTRN,Snack,G4,GROW,NOT_AVAILABLE,1,0.9,1,0,0
SD-XDLM6,Ilrey,T1,THINK,NOT_AVAILABLE,6,0.5,1,0,0
SD-XDLM6,Ilrey,T2,THINK,NOT_AVAILABLE,5,0.5,1,0,0
SD-XDLM6,Ilrey,T3,THINK,NOT_AVAILABLE,5,0.5,1,0,0
SD-XDLM6,Ilrey,T4,THINK,NOT_AVAILABLE,4,0.5,1,1,0
SD-XDLM6,Ilrey,C1,CHECK,NOT_AVAILABLE,5,1,1,0,0
SD-XDLM6,Ilrey,C2,CHECK,NOT_AVAILABLE,6,1,1,0,0
SD-XDLM6,Ilrey,C3,CHECK,NOT_AVAILABLE,8,1,1,0,0
SD-XDLM6,Ilrey,C4,CHECK,NOT_AVAILABLE,5,1,1,0,0
SD-XDLM6,Ilrey,S1,SOLVE,NOT_AVAILABLE,3,1,1,0,0
SD-XDLM6,Ilrey,S2,SOLVE,NOT_AVAILABLE,3,1,1,0,0
SD-XDLM6,Ilrey,S3,SOLVE,NOT_AVAILABLE,6,1,1,0,0
SD-XDLM6,Ilrey,S4,SOLVE,NOT_AVAILABLE,2,1,1,0,0
SD-XDLM6,Ilrey,E1,EXPLAIN,NOT_AVAILABLE,5,0.5,1,0,0
SD-XDLM6,Ilrey,E2,EXPLAIN,NOT_AVAILABLE,3,0.5,1,0,0
SD-XDLM6,Ilrey,E3,EXPLAIN,NOT_AVAILABLE,3,0.5,1,0,0
SD-XDLM6,Ilrey,E4,EXPLAIN,NOT_AVAILABLE,5,0.5,1,0,0
SD-XDLM6,Ilrey,G1,GROW,NOT_AVAILABLE,4,1,1,0,0
SD-XDLM6,Ilrey,G2,GROW,NOT_AVAILABLE,1,1,1,0,0
SD-XDLM6,Ilrey,G3,GROW,NOT_AVAILABLE,4,1,1,0,0
SD-XDLM6,Ilrey,G4,GROW,NOT_AVAILABLE,1,1,1,1,0
