student_id,alias,username,registered_at,baseline_score,mission1_score,mission2_score,mission3_score,mission4_score,post_score,total_mission_score,total_system_score,stored_total_score,score_match,raw_gain,normalized_gain,evidences_count,ai_queries_count,status
SD-2ETP3,Radar,radar,2026-08-15T13:03:41.101Z,24,34,36,38,38,40,146,210,210,PASS,16,1,7,1,FULLY_COMPLETED
SD-2FJTN,Petch,petch,2026-08-15T13:14:28.392Z,25,36,38,35,38,40,147,212,212,PASS,15,1,7,0,FULLY_COMPLETED
SD-68QME,Max,maxii,2026-08-15T13:08:42.288Z,26,34,38,36,38,36,146,208,208,PASS,10,0.7143,6,4,FULLY_COMPLETED
SD-88H7G,ภูมิ,poom12,2026-08-15T14:18:26.562Z,31,37,40,38,36.5,40,151.5,222.5,222.5,PASS,9,1,1,0,FULLY_COMPLETED
SD-AXTTJ,Tectid,tete,2026-08-15T14:18:54.692Z,32,35,38,39,36.5,40,148.5,220.5,220.5,PASS,8,1,1,0,FULLY_COMPLETED
SD-C3JUV,Andrey,elias,2026-08-15T13:12:29.298Z,32,34,40,34,36.5,40,144.5,216.5,216.5,PASS,8,1,1,0,FULLY_COMPLETED
SD-HJF6X,ข้าว,khaw,2026-08-15T13:56:32.263Z,26,37,38,39,40,40,154,220,220,PASS,14,1,2,2,FULLY_COMPLETED
SD-JCC9U,Fino,fino,2026-08-15T13:54:55.410Z,25,36,38,40,38,40,152,217,217,PASS,15,1,1,0,FULLY_COMPLETED
SD-PLTRN,Snack,snack00,2026-08-15T13:13:48.699Z,23,35,35,34,34.5,36,138.5,197.5,197.5,PASS,13,0.7647,2,4,FULLY_COMPLETED
SD-XDLM6,Ilrey,hotmail,2026-08-15T13:15:22.114Z,32,35,37,36,38.5,40,146.5,218.5,218.5,PASS,8,1,2,0,FULLY_COMPLETED
