student_id,alias,pre_total,post_total,raw_gain,normalized_gain,M1_total,M2_total,M3_total,M4_total,total_missions,total_system,T1,T2,T3,T4,C1,C2,C3,C4,S1,S2,S3,S4,E1,E2,E3,E4,G1,G2,G3,G4,AI_usage_total,evidence_total,attempt_total
SD-2ETP3,Radar,24,40,16,1,34,36,38,38,146,210,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0
SD-2FJTN,Petch,25,40,15,1,36,38,35,38,147,212,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,7,0
SD-68QME,Max,26,36,10,0.7143,34,38,36,38,146,208,1,1,1,1,0.7,0.7,0.7,0.7,1,1,1,1,1,1,1,1,1,1,1,1,4,6,0
SD-88H7G,ภูมิ,31,40,9,1,37,40,38,36.5,151.5,222.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
SD-AXTTJ,Tectid,32,40,8,1,35,38,39,36.5,148.5,220.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
SD-C3JUV,Andrey,32,40,8,1,34,40,34,36.5,144.5,216.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
SD-HJF6X,ข้าว,26,40,14,1,37,38,39,40,154,220,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0
SD-JCC9U,Fino,25,40,15,1,36,38,40,38,152,217,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
SD-PLTRN,Snack,23,36,13,0.7647,35,35,34,34.5,138.5,197.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,0
SD-XDLM6,Ilrey,32,40,8,1,35,37,36,38.5,146.5,218.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0
