student_id,alias,collection_name,document_count,status,audit_note
SD-2ETP3,Radar,attempts / question_attempts,0,NO_RECORD,System records final submissions in assessments and mission_results aggregated objects; no individual attempt log document in attempts collection.
SD-2FJTN,Petch,attempts / question_attempts,0,NO_RECORD,System records final submissions in assessments and mission_results aggregated objects; no individual attempt log document in attempts collection.
SD-68QME,Max,attempts / question_attempts,0,NO_RECORD,System records final submissions in assessments and mission_results aggregated objects; no individual attempt log document in attempts collection.
SD-88H7G,ภูมิ,attempts / question_attempts,0,NO_RECORD,System records final submissions in assessments and mission_results aggregated objects; no individual attempt log document in attempts collection.
SD-AXTTJ,Tectid,attempts / question_attempts,0,NO_RECORD,System records final submissions in assessments and mission_results aggregated objects; no individual attempt log document in attempts collection.
SD-C3JUV,Andrey,attempts / question_attempts,0,NO_RECORD,System records final submissions in assessments and mission_results aggregated objects; no individual attempt log document in attempts collection.
SD-HJF6X,ข้าว,attempts / question_attempts,0,NO_RECORD,System records final submissions in assessments and mission_results aggregated objects; no individual attempt log document in attempts collection.
SD-JCC9U,Fino,attempts / question_attempts,0,NO_RECORD,System records final submissions in assessments and mission_results aggregated objects; no individual attempt log document in attempts collection.
SD-PLTRN,Snack,attempts / question_attempts,0,NO_RECORD,System records final submissions in assessments and mission_results aggregated objects; no individual attempt log document in attempts collection.
SD-XDLM6,Ilrey,attempts / question_attempts,0,NO_RECORD,System records final submissions in assessments and mission_results aggregated objects; no individual attempt log document in attempts collection.
