student_id,alias,phase,T1,T2,T3,T4,C1,C2,C3,C4,S1,S2,S3,S4,E1,E2,E3,E4,G1,G2,G3,G4
SD-2ETP3,Radar,BASELINE,0.8,0.8,0.8,0.8,0.3,0.3,0.3,0.3,1,1,1,1,0.5,0.5,0.5,0.5,0.8,0.8,0.8,0.8
SD-2ETP3,Radar,POST_TEST,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SD-2FJTN,Petch,BASELINE,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,1,1,1,1,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4
SD-2FJTN,Petch,POST_TEST,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SD-68QME,Max,BASELINE,0.8,0.8,0.8,0.8,0.3,0.3,0.3,0.3,1,1,1,1,0.5,0.5,0.5,0.5,1,1,1,1
SD-68QME,Max,POST_TEST,1,1,1,1,0.7,0.7,0.7,0.7,1,1,1,1,1,1,1,1,1,1,1,1
SD-88H7G,ภูมิ,BASELINE,1,1,1,1,0.7,0.7,0.7,0.7,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4
SD-88H7G,ภูมิ,POST_TEST,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SD-AXTTJ,Tectid,BASELINE,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,1,1,1,1
SD-AXTTJ,Tectid,POST_TEST,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SD-C3JUV,Andrey,BASELINE,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5
SD-C3JUV,Andrey,POST_TEST,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SD-HJF6X,ข้าว,BASELINE,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3
SD-HJF6X,ข้าว,POST_TEST,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SD-JCC9U,Fino,BASELINE,0.3,0.3,0.3,0.3,1,1,1,1,1,1,1,1,0,0,0,0,0.9,0.9,0.9,0.9
SD-JCC9U,Fino,POST_TEST,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SD-PLTRN,Snack,BASELINE,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,1,1,1,1,0.5,0.5,0.5,0.5,0.9,0.9,0.9,0.9
SD-PLTRN,Snack,POST_TEST,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SD-XDLM6,Ilrey,BASELINE,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,1,1,1,1
SD-XDLM6,Ilrey,POST_TEST,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
