student_id,alias,username,registered_at,progress_doc_id,baseline_doc_id,post_test_doc_id,m1_doc_id,m2_doc_id,m3_doc_id,m4_doc_id,total_points_recorded,total_points_recalculated,score_match,ai_logs_count,evidences_count
SD-2ETP3,Radar,radar,2026-08-15T13:03:41.101Z,SD-2ETP3,SD-2ETP3_BASELINE,SD-2ETP3_POST_TEST,SD-2ETP3_m1,SD-2ETP3_m2,SD-2ETP3_m3,SD-2ETP3_m4,210,210,PASS,2,7
SD-2FJTN,Petch,petch,2026-08-15T13:14:28.392Z,SD-2FJTN,SD-2FJTN_BASELINE,SD-2FJTN_POST_TEST,SD-2FJTN_m1,SD-2FJTN_m2,SD-2FJTN_m3,SD-2FJTN_m4,212,212,PASS,0,7
SD-68QME,Max,maxii,2026-08-15T13:08:42.288Z,SD-68QME,SD-68QME_BASELINE,SD-68QME_POST_TEST,SD-68QME_m1,SD-68QME_m2,SD-68QME_m3,SD-68QME_m4,208,208,PASS,3,6
SD-88H7G,ภูมิ,poom12,2026-08-15T14:18:26.562Z,SD-88H7G,SD-88H7G_BASELINE,SD-88H7G_POST_TEST,SD-88H7G_m1,SD-88H7G_m2,SD-88H7G_m3,SD-88H7G_m4,222.5,222.5,PASS,0,1
SD-AXTTJ,Tectid,tete,2026-08-15T14:18:54.692Z,SD-AXTTJ,SD-AXTTJ_BASELINE,SD-AXTTJ_POST_TEST,SD-AXTTJ_m1,SD-AXTTJ_m2,SD-AXTTJ_m3,SD-AXTTJ_m4,220.5,220.5,PASS,0,1
SD-C3JUV,Andrey,elias,2026-08-15T13:12:29.298Z,SD-C3JUV,SD-C3JUV_BASELINE,SD-C3JUV_POST_TEST,SD-C3JUV_m1,SD-C3JUV_m2,SD-C3JUV_m3,SD-C3JUV_m4,216.5,216.5,PASS,0,1
SD-HJF6X,ข้าว,khaw,2026-08-15T13:56:32.263Z,SD-HJF6X,SD-HJF6X_BASELINE,SD-HJF6X_POST_TEST,SD-HJF6X_m1,SD-HJF6X_m2,SD-HJF6X_m3,SD-HJF6X_m4,220,220,PASS,3,2
SD-JCC9U,Fino,fino,2026-08-15T13:54:55.410Z,SD-JCC9U,SD-JCC9U_BASELINE,SD-JCC9U_POST_TEST,SD-JCC9U_m1,SD-JCC9U_m2,SD-JCC9U_m3,SD-JCC9U_m4,217,217,PASS,0,1
SD-PLTRN,Snack,snack00,2026-08-15T13:13:48.699Z,SD-PLTRN,SD-PLTRN_BASELINE,SD-PLTRN_POST_TEST,SD-PLTRN_m1,SD-PLTRN_m2,SD-PLTRN_m3,SD-PLTRN_m4,197.5,197.5,PASS,2,2
SD-XDLM6,Ilrey,hotmail,2026-08-15T13:15:22.114Z,SD-XDLM6,SD-XDLM6_BASELINE,SD-XDLM6_POST_TEST,SD-XDLM6_m1,SD-XDLM6_m2,SD-XDLM6_m3,SD-XDLM6_m4,218.5,218.5,PASS,0,2
