studentId,alias,username,role,registeredAt,totalPointsRecorded,baselineStatus,postTestStatus,completedMissionsCount,completedMissionsList
SD-2ETP3,Radar,radar,STUDENT,2026-08-15T13:03:41.101Z,210,COMPLETED,COMPLETED,4,m1;m2;m3;m4
SD-2FJTN,Petch,petch,STUDENT,2026-08-15T13:14:28.392Z,212,COMPLETED,COMPLETED,4,m1;m2;m3;m4
SD-68QME,Max,maxii,STUDENT,2026-08-15T13:08:42.288Z,208,COMPLETED,COMPLETED,4,m1;m2;m3;m4
SD-88H7G,ภูมิ,poom12,STUDENT,2026-08-15T14:18:26.562Z,222.5,COMPLETED,COMPLETED,4,m1;m2;m3;m4
SD-AXTTJ,Tectid,tete,STUDENT,2026-08-15T14:18:54.692Z,220.5,COMPLETED,COMPLETED,4,m1;m2;m3;m4
SD-C3JUV,Andrey,elias,STUDENT,2026-08-15T13:12:29.298Z,216.5,COMPLETED,COMPLETED,4,m1;m2;m3;m4
SD-HJF6X,ข้าว,khaw,STUDENT,2026-08-15T13:56:32.263Z,220,COMPLETED,COMPLETED,4,m1;m2;m3;m4
SD-JCC9U,Fino,fino,STUDENT,2026-08-15T13:54:55.410Z,217,COMPLETED,COMPLETED,4,m1;m2;m3;m4
SD-PLTRN,Snack,snack00,STUDENT,2026-08-15T13:13:48.699Z,197.5,COMPLETED,COMPLETED,4,m1;m2;m3;m4
SD-XDLM6,Ilrey,hotmail,STUDENT,2026-08-15T13:15:22.114Z,218.5,COMPLETED,COMPLETED,4,m1;m2;m3;m4
