studentAlias,studentId,missionId,score,maxScore,completed,attemptsCount,timeSpentSeconds,completedAt
Radar,SD-2ETP3,m1,34,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:28:29.231Z
Radar,SD-2ETP3,m2,36,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:36:17.432Z
Radar,SD-2ETP3,m3,38,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:43:23.507Z
Radar,SD-2ETP3,m4,38,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:48:30.460Z
Petch,SD-2FJTN,m1,36,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:28:12.593Z
Petch,SD-2FJTN,m2,38,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:36:20.354Z
Petch,SD-2FJTN,m3,35,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:43:19.463Z
Petch,SD-2FJTN,m4,38,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:48:26.443Z
Max,SD-68QME,m1,34,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:28:25.803Z
Max,SD-68QME,m2,38,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:36:11.431Z
Max,SD-68QME,m3,36,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:43:23.254Z
Max,SD-68QME,m4,38,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:48:31.562Z
ภูมิ,SD-88H7G,m1,37,40,TRUE,16,NOT_AVAILABLE,2026-08-15T14:23:07.591Z
ภูมิ,SD-88H7G,m2,40,40,TRUE,16,NOT_AVAILABLE,2026-08-15T14:27:15.969Z
ภูมิ,SD-88H7G,m3,38,40,TRUE,16,NOT_AVAILABLE,2026-08-15T14:30:52.575Z
ภูมิ,SD-88H7G,m4,36.5,40,TRUE,16,NOT_AVAILABLE,2026-08-15T14:33:19.574Z
Tectid,SD-AXTTJ,m1,35,40,TRUE,16,NOT_AVAILABLE,2026-08-15T14:23:06.844Z
Tectid,SD-AXTTJ,m2,38,40,TRUE,16,NOT_AVAILABLE,2026-08-15T14:27:27.456Z
Tectid,SD-AXTTJ,m3,39,40,TRUE,16,NOT_AVAILABLE,2026-08-15T14:30:53.585Z
Tectid,SD-AXTTJ,m4,36.5,40,TRUE,16,NOT_AVAILABLE,2026-08-15T14:33:25.902Z
Andrey,SD-C3JUV,m1,34,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:28:13.346Z
Andrey,SD-C3JUV,m2,40,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:36:00.782Z
Andrey,SD-C3JUV,m3,34,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:43:03.782Z
Andrey,SD-C3JUV,m4,36.5,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:48:31.718Z
ข้าว,SD-HJF6X,m1,37,40,TRUE,16,NOT_AVAILABLE,2026-08-15T14:01:58.807Z
ข้าว,SD-HJF6X,m2,38,40,TRUE,16,NOT_AVAILABLE,2026-08-15T14:06:59.957Z
ข้าว,SD-HJF6X,m3,39,40,TRUE,16,NOT_AVAILABLE,2026-08-15T14:11:50.110Z
ข้าว,SD-HJF6X,m4,40,40,TRUE,16,NOT_AVAILABLE,2026-08-15T14:15:41.344Z
Fino,SD-JCC9U,m1,36,40,TRUE,16,NOT_AVAILABLE,2026-08-15T14:02:09.673Z
Fino,SD-JCC9U,m2,38,40,TRUE,16,NOT_AVAILABLE,2026-08-15T14:07:00.292Z
Fino,SD-JCC9U,m3,40,40,TRUE,16,NOT_AVAILABLE,2026-08-15T14:11:53.403Z
Fino,SD-JCC9U,m4,38,40,TRUE,16,NOT_AVAILABLE,2026-08-15T14:15:48.499Z
Snack,SD-PLTRN,m1,35,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:28:20.056Z
Snack,SD-PLTRN,m2,35,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:36:02.328Z
Snack,SD-PLTRN,m3,34,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:43:06.806Z
Snack,SD-PLTRN,m4,34.5,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:48:31.337Z
Ilrey,SD-XDLM6,m1,35,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:28:16.520Z
Ilrey,SD-XDLM6,m2,37,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:36:02.125Z
Ilrey,SD-XDLM6,m3,36,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:43:05.153Z
Ilrey,SD-XDLM6,m4,38.5,40,TRUE,16,NOT_AVAILABLE,2026-08-15T13:48:32.084Z
